Index,d,phi,temp,baseVis,nanoVis,Ypredicted
1,43,0.548593,30,0.79735,0.826195,0.8114801
1,30,0.3,32,0.76456,0.827523,0.7910252
1,32,0.55082,35,0.71932,0.829091,0.772331
3,12,1.143490554,52,0.529,0.829431,0.76939344
1,30,0.2,31,0.78067,0.830275,0.79547954
4,11,0.156976744,30,0.79735,0.830421,0.8119439
1,30,0.1,30,0.79735,0.831193,0.80210704
1,30,0.03,29,0.8146,0.83211,0.8139965
1,47,4,50.26627,0.544422,0.83259,0.81579673
4,33,0.398615917,30,0.79735,0.832692,0.8088842
1,36,4.5,46.0221,0.585425,0.832895,0.891523
1,13,1.34,52,0.529,0.833035,0.79808986
2,21,0.998845266,35,0.71932,0.83488,0.822592
4,11,0.558837209,35,0.71932,0.836893,0.8129088
4,29,1,31.02837469,0.780209,0.845008,0.82957685
4,29,4.5,63.19900104,0.444736,0.845008,0.84573907
1,32,0.131148,30,0.79735,0.847273,0.80137455
1,30,0.3,31,0.78067,0.847706,0.8078318
1,47,1,28.9497,0.815491,0.848027,0.8439992
1,30,0.2,30,0.79735,0.849541,0.81386507
1,30,0.1,29,0.8146,0.851376,0.82172245
2,27,0.99,32.14823,0.76223,0.851546,0.7876464
2,27,2.04,36.83993,0.693691,0.8517,0.8406556
4,33,0.562629758,30,0.79735,0.851923,0.8207779
1,30,0.03,28,0.83248,0.852294,0.8340359
4,11,0.397674419,30,0.79735,0.856311,0.8543551
2,76,5.54,50,0.54685,0.856805,0.868852
1,30,0.5,35.00868,0.719196,0.857651,0.7741596
1,43,1.998721,35,0.71932,0.858407,0.8132121
4,29,4.5,59.99157809,0.46646,0.859738,0.874947
4,29,4.5,61.44946146,0.456366,0.859738,0.86493427
1,100,2,35,0.71932,0.860772,0.843512
1,43,0.978261,30,0.79735,0.860885,0.8374111
2,21,1,37.44885,0.688618,0.863415,0.79343665
1,47,1,31.01085,0.780494,0.863465,0.79689497
2,21,1.498267898,35,0.71932,0.86368,0.90227175
4,33,0.811764706,30,0.79735,0.865385,0.8357348
1,30,0.3,30,0.79735,0.866972,0.8263378
1,25,1,35,0.71932,0.867039,0.8953469
2,27,3.159714085,32,0.76456,0.86938,1.0583295
1,30,0.2,29,0.8146,0.869725,0.8328319
1,30,0.03,27,0.85099,0.87156,0.8544989
1,30,0.1,28,0.83248,0.87156,0.8417617
4,29,1,29.52173613,0.805528,0.874468,0.86097807
1,32,0.272131,30,0.79735,0.876364,0.8175315
1,30,0.2,28,0.83248,0.878899,0.85282385
1,47,7,63.82643,0.440684,0.878902,0.8763717
1,47,4,47.2288,0.573275,0.878902,0.84934354
4,11,0.81,40,0.65298,0.878964,0.83004826
1,32,1.403279,40,0.65298,0.88,0.85803103
1,100,6,50,0.54685,0.880335,0.91458917
1,30,0.1,27,0.85099,0.880734,0.8622248
2,21,1.997690531,35,0.71932,0.88288,1.0248772
1,32,0.980328,35,0.71932,0.883636,0.84289414
2,21,2,48.20972,0.562602,0.88374,0.8552428
4,33,1.158477509,30,0.79735,0.884615,0.8555045
1,30,0.3,29,0.8146,0.886239,0.84492356
4,29,4.5,57.22144062,0.486686,0.889198,0.9071386
1,30,0.03,26,0.87018,0.891743,0.8780277
4,11,0.002093023,25,0.89008,0.891909,0.9037808
4,33,0,25,0.89008,0.892308,0.88127655
